 file_name                 func_name  total_time  avg_time  min_time  max_time  call_count
----------  ------------------------  ----------  --------  --------  --------  ----------
./myapp.py  post_vote                   19.42619   0.00359   0.00077   0.01164        5407
./myapp.py  get_voice_of_supporter        5.7108   0.01632    0.0029   0.05277         350
./myapp.py  get_political_party          4.75307   0.04062   0.02352   0.06341         117
./myapp.py  get_index                    3.95214   0.01132   0.00766   0.13936         349
./myapp.py  get_election_results         3.26426     0.007    0.0012   0.00982         466
./myapp.py  get_candidate                3.18922   0.01369   0.00455   0.03494         233
./myapp.py  set_voted_count_cache        1.53305   0.00035     2e-05    0.0043        4347
./myapp.py  set_cache                    1.38937   0.00032     1e-05   0.00427        4347
./myapp.py  db                              0.53     9e-05     7e-05   0.00085        6107
./myapp.py  get_all_party_name           0.48819    0.0014   0.00051   0.00347         349
./myapp.py  teardown                     0.42584     7e-05     7e-05   0.00019        6106
./myapp.py  get_cache                    0.14589     3e-05     1e-05   0.00086        4354
./myapp.py  get_voted_count_cache        0.12195     3e-05     1e-05   0.00086        4354
./myapp.py  get_initialize               0.08154   0.08154   0.08154   0.08154           1
./myapp.py  db_initialize                0.08153   0.08153   0.08153   0.08153           1
./myapp.py  <dictcomp>                   0.05572     1e-05     1e-05   0.00016        5407
./myapp.py  <listcomp>                    0.0217     2e-05         0   0.00727        1164
./myapp.py  unquote_cached               0.01369   0.00152   0.00013   0.00724           9
./myapp.py  get_candidate_id_by_name     0.00925         0         0   0.00013        5407
./myapp.py  <lambda>                      0.0008         0         0     1e-05         349
