 file_name                                     func_name  total_time  avg_time  min_time  max_time  call_count
----------  --------------------------------------------  ----------  --------  --------  --------  ----------
./myapp.py  post_vote                                       22.11583   0.00451     0.001   0.38523        4907
./myapp.py  get_vote_keyword_count_cache_by_candidate_id     11.6932   0.05315   0.00051   0.19001         220
./myapp.py  get_political_party                              9.37086   0.12663   0.01089   0.19564          74
./myapp.py  get_voice_of_supporter                           9.12317   0.12329   0.00909   0.19271          74
./myapp.py  set_vote_keyword_count_cache_by_candidate_id      4.0629   0.00103   0.00029   0.18118        3950
./myapp.py  get_candidate                                    2.95333   0.02023   0.00146    0.0312         146
./myapp.py  get_voice_of_supporter_by_id                     2.81276   0.01927   0.00067   0.03035         146
./myapp.py  set_cache                                        1.45192   0.00037     1e-05   0.00873        3950
./myapp.py  set_voted_count_cache                            1.34311   0.00034     2e-05   0.00873        3950
./myapp.py  get_index                                        0.89615   0.00411   0.00336     0.071         218
./myapp.py  db                                               0.37926     8e-05     7e-05   0.00028        5054
./myapp.py  set_vote_count_cache_by_candidate_id             0.37517     9e-05     2e-05   0.00334        3950
./myapp.py  teardown                                           0.364     7e-05     3e-05   0.00022        5346
./myapp.py  get_cache                                        0.28105     6e-05     1e-05   0.00263        4392
./myapp.py  get_election_results                             0.27635   0.00095   0.00059   0.00336         292
./myapp.py  get_vote_count_cache_by_candidate_id             0.17527    0.0004     3e-05   0.00294         438
./myapp.py  get_voted_count_cache                            0.10711     3e-05     1e-05   0.00014        3954
./myapp.py  <dictcomp>                                       0.05169     1e-05     1e-05   0.00017        4907
./myapp.py  <listcomp>                                       0.02139     6e-05         0   0.00978         367
./myapp.py  unquote_cached                                   0.01514   0.00151   0.00012   0.00975          10
./myapp.py  get_candidate_id_by_name                         0.00846         0         0   0.00012        4907
./myapp.py  get_initialize                                   0.00648   0.00648   0.00648   0.00648           1
./myapp.py  <lambda>                                         0.00599     1e-05         0     5e-05         510
./myapp.py  db_initialize                                    0.00598   0.00598   0.00598   0.00598           1
./myapp.py  get_candidate_by_id                              0.00076         0         0     3e-05         220
./myapp.py  get_all_party_name                               0.00055         0         0     1e-05         218
