 file_name                                     func_name  total_time  avg_time  min_time  max_time  call_count
----------  --------------------------------------------  ----------  --------  --------  --------  ----------
./myapp.py  post_vote                                       16.18668   0.00403   0.00028   0.15498        4018
./myapp.py  get_user_cache                                    4.6771   0.00117   0.00029   0.15365        4014
./myapp.py  set_vote_keyword_count_cache_by_candidate_id     2.84351   0.00088   0.00027   0.00519        3240
./myapp.py  set_cache                                        1.64731   0.00051     1e-05   0.00485        3241
./myapp.py  clear_index_page_cache                           0.84728   0.00026     1e-05   0.00308        3240
./myapp.py  set_voted_count_cache                            0.83725   0.00026     2e-05   0.00427        3240
./myapp.py  db                                               0.29308     7e-05     7e-05   0.00018        4019
./myapp.py  teardown                                         0.29183     7e-05     3e-05   0.00068        4023
./myapp.py  set_vote_count_cache_by_candidate_id              0.1974     6e-05     2e-05   0.00298        3240
./myapp.py  get_index                                        0.15736   0.15736   0.15736   0.15736           1
./myapp.py  get_cache                                         0.1573     5e-05     1e-05   0.00212        3248
./myapp.py  get_voted_count_cache                            0.09601     3e-05     2e-05    0.0008        3244
./myapp.py  get_candidate                                     0.0448    0.0224   0.00791   0.03689           2
./myapp.py  <dictcomp>                                       0.04349     1e-05     1e-05     7e-05        4018
./myapp.py  get_political_party                              0.03762   0.03762   0.03762   0.03762           1
./myapp.py  get_voice_of_supporter_by_id                     0.01817   0.00908   0.00721   0.01095           2
./myapp.py  get_initialize                                    0.0173    0.0173    0.0173    0.0173           1
./myapp.py  get_vote_keyword_count_cache_by_candidate_id     0.01296   0.00432    0.0028   0.00722           3
./myapp.py  <listcomp>                                       0.01206   0.00241     1e-05   0.00753           5
./myapp.py  unquote_cached                                   0.01197   0.00399   0.00032   0.00749           3
./myapp.py  get_voice_of_supporter                           0.00817   0.00817   0.00817   0.00817           1
./myapp.py  get_candidate_id_by_name                         0.00704         0         0     2e-05        4018
./myapp.py  get_election_results                             0.00167   0.00084   0.00083   0.00085           2
./myapp.py  get_vote_count_cache_by_candidate_id             0.00109   0.00027     2e-05   0.00052           4
./myapp.py  db_initialize                                    0.00057   0.00057   0.00057   0.00057           1
./myapp.py  set_index_page_cache                               6e-05     6e-05     6e-05     6e-05           1
./myapp.py  <lambda>                                           3e-05     1e-05         0     2e-05           3
./myapp.py  get_index_page_cache                               2e-05     2e-05     2e-05     2e-05           1
./myapp.py  get_candidate_by_id                                1e-05         0         0     1e-05           3
./myapp.py  get_all_party_name                                     0         0         0         0           1
