 file_name                 func_name  total_time  avg_time  min_time  max_time  call_count
----------  ------------------------  ----------  --------  --------  --------  ----------
./myapp.py  post_vote                   22.48744   0.00381   0.00081   0.29751        5907
./myapp.py  get_voice_of_supporter       6.10165   0.01743   0.00246   0.05698         350
./myapp.py  get_political_party          4.98017   0.04257   0.02533   0.06874         117
./myapp.py  get_index                    3.69055   0.01057    0.0067   0.14036         349
./myapp.py  get_election_results         3.48796   0.00748   0.00098   0.01085         466
./myapp.py  get_candidate                3.20743   0.01377    0.0036   0.03756         233
./myapp.py  set_voted_count_cache        1.68673   0.00036     2e-05   0.00458        4747
./myapp.py  set_cache                    1.53105   0.00032     1e-05   0.00455        4747
./myapp.py  db                           0.54179     8e-05     7e-05   0.00114        6607
./myapp.py  teardown                     0.48077     7e-05     7e-05   0.00015        6606
./myapp.py  get_cache                    0.15821     3e-05     1e-05   0.00046        4754
./myapp.py  get_voted_count_cache        0.13245     3e-05     2e-05   0.00045        4754
./myapp.py  <dictcomp>                   0.06146     1e-05     1e-05   0.00016        5907
./myapp.py  <listcomp>                   0.02308     3e-05         0    0.0094         817
./myapp.py  unquote_cached               0.01569   0.00196   0.00015   0.00937           8
./myapp.py  db_initialize                0.01561   0.01561   0.01561   0.01561           1
./myapp.py  get_initialize               0.01561   0.01561   0.01561   0.01561           1
./myapp.py  get_candidate_id_by_name     0.01059         0         0     3e-05        5907
./myapp.py  <lambda>                     0.00119         0         0     2e-05         348
./myapp.py  get_all_party_name           0.00096         0         0     2e-05         348
./myapp.py  get_candidate_by_id          0.00037         0         0         0         233
