 file_name                                     func_name  total_time  avg_time  min_time  max_time  call_count
----------  --------------------------------------------  ----------  --------  --------  --------  ----------
./myapp.py  post_vote                                       18.17262   0.00329   0.00075   0.31195        5528
./myapp.py  set_vote_keyword_count_cache_by_candidate_id     3.90213   0.00088    0.0003     0.005        4446
./myapp.py  set_cache                                         2.5058   0.00056     2e-05   0.00506        4447
./myapp.py  clear_index_page_cache                           1.24993   0.00028     1e-05   0.00469        4446
./myapp.py  set_voted_count_cache                            1.21363   0.00027     2e-05   0.00371        4446
./myapp.py  db                                               0.41777     8e-05     7e-05   0.00064        5528
./myapp.py  teardown                                         0.39738     7e-05     3e-05   0.00076        5532
./myapp.py  set_vote_count_cache_by_candidate_id             0.37875     9e-05     3e-05   0.00409        4446
./myapp.py  get_cache                                         0.2345     5e-05     1e-05   0.00208        4454
./myapp.py  get_index                                        0.14006   0.14006   0.14006   0.14006           1
./myapp.py  get_voted_count_cache                            0.13899     3e-05     2e-05   0.00206        4450
./myapp.py  <dictcomp>                                       0.05845     1e-05     1e-05     8e-05        5527
./myapp.py  get_candidate                                    0.04981    0.0249   0.00628   0.04353           2
./myapp.py  get_initialize                                   0.04629   0.04629   0.04629   0.04629           1
./myapp.py  get_political_party                              0.03839   0.03839   0.03839   0.03839           1
./myapp.py  db_initialize                                    0.01838   0.01838   0.01838   0.01838           1
./myapp.py  get_voice_of_supporter_by_id                     0.01725   0.00863   0.00549   0.01176           2
./myapp.py  get_vote_keyword_count_cache_by_candidate_id     0.01322   0.00441   0.00309   0.00652           3
./myapp.py  <listcomp>                                       0.01081   0.00216     1e-05   0.00759           5
./myapp.py  get_candidate_id_by_name                         0.01079         0         0     3e-05        5527
./myapp.py  unquote_cached                                   0.01071   0.00357   0.00105   0.00755           3
./myapp.py  get_voice_of_supporter                           0.00833   0.00833   0.00833   0.00833           1
./myapp.py  get_election_results                             0.00166   0.00083   0.00083   0.00084           2
./myapp.py  get_vote_count_cache_by_candidate_id             0.00112   0.00028     3e-05   0.00053           4
./myapp.py  <lambda>                                           4e-05     1e-05         0     2e-05           3
./myapp.py  set_index_page_cache                               4e-05     4e-05     4e-05     4e-05           1
./myapp.py  get_index_page_cache                               2e-05     2e-05     2e-05     2e-05           1
./myapp.py  get_candidate_by_id                                1e-05         0         0         0           3
./myapp.py  get_all_party_name                                     0         0         0         0           1
