 file_name                                     func_name  total_time  avg_time  min_time  max_time  call_count
----------  --------------------------------------------  ----------  --------  --------  --------  ----------
./myapp.py  post_vote                                       18.28213   0.00343   0.00076   0.48115        5332
./myapp.py  set_vote_keyword_count_cache_by_candidate_id     3.69879   0.00086    0.0003   0.00519        4290
./myapp.py  set_cache                                        2.61118   0.00061     2e-05   0.00573        4291
./myapp.py  clear_index_page_cache                           1.45446   0.00034     1e-05    0.0047        4289
./myapp.py  set_voted_count_cache                            1.14463   0.00027     2e-05    0.0052        4290
./myapp.py  db                                               0.40367     8e-05     7e-05   0.00027        5333
./myapp.py  teardown                                         0.37614     7e-05     3e-05   0.00021        5336
./myapp.py  set_vote_count_cache_by_candidate_id             0.33933     8e-05     2e-05   0.00408        4290
./myapp.py  get_cache                                        0.22003     5e-05     1e-05   0.00174        4298
./myapp.py  get_index                                        0.15044   0.15044   0.15044   0.15044           1
./myapp.py  get_voted_count_cache                            0.12958     3e-05     2e-05   0.00172        4294
./myapp.py  <dictcomp>                                       0.05652     1e-05     1e-05     7e-05        5332
./myapp.py  get_candidate                                    0.04442   0.02221   0.00912   0.03531           2
./myapp.py  get_political_party                              0.03715   0.03715   0.03715   0.03715           1
./myapp.py  get_initialize                                   0.01897   0.01897   0.01897   0.01897           1
./myapp.py  get_voice_of_supporter_by_id                     0.01757   0.00879   0.00841   0.00916           2
./myapp.py  get_vote_keyword_count_cache_by_candidate_id     0.01286   0.00429   0.00299    0.0067           3
./myapp.py  <listcomp>                                       0.01066   0.00213     1e-05   0.00548           5
./myapp.py  unquote_cached                                   0.01058   0.00529   0.00513   0.00545           2
./myapp.py  get_candidate_id_by_name                         0.00951         0         0     3e-05        5332
./myapp.py  get_voice_of_supporter                           0.00747   0.00747   0.00747   0.00747           1
./myapp.py  db_initialize                                    0.00204   0.00204   0.00204   0.00204           1
./myapp.py  get_election_results                             0.00165   0.00083   0.00082   0.00083           2
./myapp.py  get_vote_count_cache_by_candidate_id             0.00109   0.00027     2e-05   0.00052           4
./myapp.py  <lambda>                                           3e-05     1e-05         0     2e-05           3
./myapp.py  set_index_page_cache                               3e-05     3e-05     3e-05     3e-05           1
./myapp.py  get_index_page_cache                               2e-05     2e-05     2e-05     2e-05           1
./myapp.py  get_candidate_by_id                                1e-05         0         0     1e-05           3
./myapp.py  get_all_party_name                                     0         0         0         0           1
