 file_name                                     func_name  total_time  avg_time  min_time  max_time  call_count
----------  --------------------------------------------  ----------  --------  --------  --------  ----------
./myapp.py  post_vote                                       20.94748   0.00418   0.00081   0.23915        5009
./myapp.py  set_cache                                        2.22119   0.00055     2e-05   0.00465        4028
./myapp.py  set_voted_count_cache                             2.1748   0.00054     2e-05   0.00464        4028
./myapp.py  db                                               0.36235     7e-05     7e-05   0.00028        5012
./myapp.py  teardown                                         0.35811     7e-05     3e-05   0.00076        5012
./myapp.py  get_cache                                        0.22582     6e-05     1e-05   0.00247        4036
./myapp.py  set_vote_count_cache_by_candidate_id             0.22479     6e-05     3e-05   0.00203        4028
./myapp.py  set_vote_keyword_count_cache_by_candidate_id     0.20186     5e-05     2e-05    0.0017        4028
./myapp.py  get_index                                        0.13917   0.13917   0.13917   0.13917           1
./myapp.py  get_voted_count_cache                            0.11445     3e-05     2e-05   0.00064        4032
./myapp.py  <dictcomp>                                       0.05156     1e-05     1e-05     6e-05        5008
./myapp.py  get_political_party                              0.04554   0.04554   0.04554   0.04554           1
./myapp.py  get_candidate                                    0.02961   0.01481   0.00131   0.02831           2
./myapp.py  <listcomp>                                       0.00907    0.0013         0   0.00745           7
./myapp.py  get_candidate_id_by_name                         0.00904         0         0     3e-05        5007
./myapp.py  unquote_cached                                   0.00901     0.003   0.00024   0.00742           3
./myapp.py  get_voice_of_supporter                           0.00892   0.00892   0.00892   0.00892           1
./myapp.py  get_initialize                                   0.00294   0.00294   0.00294   0.00294           1
./myapp.py  db_initialize                                    0.00293   0.00293   0.00293   0.00293           1
./myapp.py  get_voice_of_supporter_by_id                     0.00178   0.00089   0.00032   0.00146           2
./myapp.py  get_election_results                             0.00168   0.00084   0.00083   0.00084           2
./myapp.py  get_vote_count_cache_by_candidate_id             0.00102   0.00051   0.00051   0.00052           2
./myapp.py  get_vote_keyword_count_cache_by_candidate_id       5e-05     3e-05     2e-05     3e-05           2
./myapp.py  <lambda>                                           4e-05     1e-05         0     2e-05           7
./myapp.py  get_all_party_name                                 1e-05     1e-05     1e-05     1e-05           1
./myapp.py  get_candidate_by_id                                    0         0         0         0           2
