 file_name                                     func_name  total_time  avg_time  min_time  max_time  call_count
----------  --------------------------------------------  ----------  --------  --------  --------  ----------
./myapp.py  post_vote                                       21.00542   0.00371   0.00075   0.01285        5657
./myapp.py  get_vote_keyword_count_cache_by_candidate_id     9.38195   0.05183   0.00033   0.19147         181
./myapp.py  get_political_party                              7.62373   0.12498   0.03679     0.196          61
./myapp.py  get_voice_of_supporter                           7.46839   0.12243   0.00703   0.19405          61
./myapp.py  set_vote_keyword_count_cache_by_candidate_id     3.83767   0.00084   0.00029   0.00471        4549
./myapp.py  set_cache                                         3.2098   0.00068     1e-05   0.00439        4727
./myapp.py  get_candidate                                    2.21684   0.01847   0.00093   0.03447         120
./myapp.py  get_voice_of_supporter_by_id                     2.11144    0.0176   0.00043   0.02795         120
./myapp.py  clear_index_page_cache                           2.04268   0.00045     1e-05   0.00436        4549
./myapp.py  get_index                                          1.385   0.00774   0.00363    0.5353         179
./myapp.py  set_voted_count_cache                            1.14003   0.00025     2e-05   0.00288        4549
./myapp.py  db                                                0.4191     7e-05     7e-05   0.00023        5658
./myapp.py  teardown                                         0.41186     7e-05     3e-05   0.00084        6017
./myapp.py  set_vote_count_cache_by_candidate_id             0.35923     8e-05     2e-05   0.00378        4549
./myapp.py  get_cache                                        0.30392     6e-05     1e-05   0.00375        4913
./myapp.py  get_election_results                             0.22701   0.00095    0.0008   0.00367         239
./myapp.py  get_vote_count_cache_by_candidate_id             0.14414    0.0004     3e-05   0.00332         359
./myapp.py  get_voted_count_cache                            0.13241     3e-05     2e-05   0.00011        4554
./myapp.py  <dictcomp>                                        0.0586     1e-05     1e-05     6e-05        5657
./myapp.py  get_initialize                                   0.02752   0.02752   0.02752   0.02752           1
./myapp.py  <listcomp>                                       0.01944     6e-05         0   0.00533         303
./myapp.py  unquote_cached                                   0.01473   0.00164   0.00028    0.0053           9
./myapp.py  db_initialize                                    0.01095   0.01095   0.01095   0.01095           1
./myapp.py  get_candidate_id_by_name                          0.0106         0         0     3e-05        5657
./myapp.py  set_index_page_cache                             0.01017     6e-05     3e-05   0.00077         178
./myapp.py  <lambda>                                          0.0053     1e-05         0     9e-05         417
./myapp.py  get_index_page_cache                             0.00332     2e-05     1e-05     5e-05         178
./myapp.py  get_candidate_by_id                               0.0007         0         0     3e-05         181
./myapp.py  get_all_party_name                               0.00059         0         0     2e-05         178
