 file_name                                     func_name  total_time  avg_time  min_time  max_time  call_count
----------  --------------------------------------------  ----------  --------  --------  --------  ----------
./myapp.py  post_vote                                       22.40867   0.00396   0.00074   0.58536        5657
./myapp.py  set_vote_keyword_count_cache_by_candidate_id     4.13153   0.00091   0.00029   0.00724        4545
./myapp.py  set_cache                                        3.17605    0.0007     1e-05   0.00476        4547
./myapp.py  clear_index_page_cache                           1.88736   0.00042     1e-05   0.00382        4545
./myapp.py  set_voted_count_cache                            1.03655   0.00023     2e-05   0.00287        4545
./myapp.py  set_vote_count_cache_by_candidate_id             0.58553   0.00013     2e-05   0.00287        4545
./myapp.py  db                                                0.4125     7e-05     7e-05   0.00022        5658
./myapp.py  teardown                                         0.39793     7e-05     3e-05   0.00076        5664
./myapp.py  get_cache                                        0.22397     5e-05     1e-05   0.00155        4561
./myapp.py  get_political_party                              0.17424   0.08712   0.03778   0.13645           2
./myapp.py  get_index                                         0.1488    0.0744    0.0035    0.1453           2
./myapp.py  get_voted_count_cache                            0.13209     3e-05     2e-05   0.00048        4554
./myapp.py  get_candidate                                    0.06571    0.0219   0.00773   0.03819           3
./myapp.py  <dictcomp>                                       0.05812     1e-05     1e-05     6e-05        5657
./myapp.py  get_voice_of_supporter_by_id                     0.03833   0.01278   0.00691   0.01913           3
./myapp.py  get_vote_keyword_count_cache_by_candidate_id     0.03175   0.00794   0.00269   0.01863           4
./myapp.py  get_initialize                                   0.01711   0.01711   0.01711   0.01711           1
./myapp.py  <listcomp>                                       0.01298   0.00185     1e-05   0.00921           7
./myapp.py  unquote_cached                                   0.01285   0.00321   0.00015   0.00917           4
./myapp.py  get_candidate_id_by_name                         0.00963         0         0     3e-05        5657
./myapp.py  get_voice_of_supporter                           0.00799   0.00799   0.00799   0.00799           1
./myapp.py  get_election_results                             0.00335   0.00084   0.00081   0.00086           4
./myapp.py  get_vote_count_cache_by_candidate_id             0.00216   0.00031     3e-05   0.00054           7
./myapp.py  db_initialize                                    0.00057   0.00057   0.00057   0.00057           1
./myapp.py  set_index_page_cache                               8e-05     4e-05     3e-05     5e-05           2
./myapp.py  <lambda>                                           7e-05     1e-05         0     2e-05           6
./myapp.py  get_index_page_cache                               3e-05     2e-05     2e-05     2e-05           2
./myapp.py  get_all_party_name                                 1e-05         0         0         0           2
./myapp.py  get_candidate_by_id                                1e-05         0         0         0           5
