 file_name                                     func_name  total_time  avg_time  min_time  max_time  call_count
----------  --------------------------------------------  ----------  --------  --------  --------  ----------
./myapp.py  post_vote                                       18.94046    0.0036   0.00076   0.38997        5262
./myapp.py  set_vote_keyword_count_cache_by_candidate_id     4.05063   0.00096    0.0003   0.30296        4232
./myapp.py  set_cache                                        2.40218   0.00057     1e-05   0.00489        4233
./myapp.py  set_voted_count_cache                            1.57172   0.00037     2e-05   0.38609        4232
./myapp.py  clear_index_page_cache                           1.22986   0.00029     1e-05   0.00486        4232
./myapp.py  get_cache                                        0.60385   0.00014     1e-05   0.38609        4242
./myapp.py  db                                               0.39551     8e-05     7e-05   0.00027        5262
./myapp.py  teardown                                         0.37247     7e-05     3e-05   0.00018        5266
./myapp.py  set_vote_count_cache_by_candidate_id              0.3045     7e-05     2e-05    0.0037        4232
./myapp.py  get_index                                         0.1554    0.1554    0.1554    0.1554           1
./myapp.py  get_voted_count_cache                            0.12918     3e-05     2e-05   0.00121        4238
./myapp.py  <dictcomp>                                       0.05527     1e-05     1e-05     7e-05        5261
./myapp.py  get_candidate                                    0.04227   0.02114   0.00529   0.03698           2
./myapp.py  get_political_party                              0.03566   0.03566   0.03566   0.03566           1
./myapp.py  get_initialize                                   0.01717   0.01717   0.01717   0.01717           1
./myapp.py  get_voice_of_supporter_by_id                      0.0158    0.0079   0.00465   0.01115           2
./myapp.py  get_vote_keyword_count_cache_by_candidate_id     0.01106   0.00369   0.00254   0.00561           3
./myapp.py  <listcomp>                                       0.00973   0.00195     1e-05   0.00774           5
./myapp.py  get_candidate_id_by_name                         0.00969         0         0     3e-05        5261
./myapp.py  unquote_cached                                   0.00965   0.00482   0.00194   0.00771           2
./myapp.py  get_voice_of_supporter                           0.00632   0.00632   0.00632   0.00632           1
./myapp.py  get_election_results                             0.00173   0.00086   0.00085   0.00088           2
./myapp.py  get_vote_count_cache_by_candidate_id             0.00115   0.00029     3e-05   0.00056           4
./myapp.py  db_initialize                                    0.00053   0.00053   0.00053   0.00053           1
./myapp.py  <lambda>                                           4e-05     1e-05         0     2e-05           3
./myapp.py  set_index_page_cache                               4e-05     4e-05     4e-05     4e-05           1
./myapp.py  get_index_page_cache                               2e-05     2e-05     2e-05     2e-05           1
./myapp.py  get_candidate_by_id                                1e-05         0         0         0           3
./myapp.py  get_all_party_name                                     0         0         0         0           1
